DE1_FILIAL,C,2,0;DE1_CODLAY,C,6,0;DE1_CODREG,C,6,0;DE1_SEQUEN,C,3,0;DE1_TIPO,C,1,0;DE1_ALIAS,C,3,0;DE1_CAMPO,C,10,0;DE1_LAYTAM,N,3,0;DE1_LAYDEC,N,2,0;DE1_POSINI,C,3,0;DE1_POSFIM,C,3,0;DE1_OBSERV,C,80,0;DE1_REGRA,C,254,0;DE1_VALID,C,128,0;DE1_POSICI,C,1,0;DE1_POSORD,C,1,0;DE1_POSCHV,C,160,0
;000001;R101;001;1;BCA;NR_SEQ;8;;000;000;NUMERO SEQUENCIAL DE UM REGISTRO EM UM ARQUIVO DE TRANSFERENCIA;PLSUA500LN('R101');;2;;
;000001;R101;002;1;BCA;TP_REG;3;;000;001;TIPO DE REGISTRO PARA OS ARQUIVOS DE TROCA DE INFORMACOES BATCH;'101';;2;;
;000001;R101;003;1;BCA;CD_UNI_DES;4;;001;001;CODIGO DA UNIMED DESTINO;CCODORI;;2;;
;000001;R101;004;1;BCA;CD_UNI_ORI;4;;001;001;CODIGO DA UNIMED ORIGEM;CCODDES;;2;;
;000001;R101;005;1;BCA;DT_GERACAO;8;;002;002;DATA DA GERACAO DO ARQUIVO;DTOS(DDATGER);;2;;
;000001;R101;006;1;BCA;TP_MOV;1;;002;002;TIPO DA MOVIMENTACAO DE CADASTRO EM ARQUIVOS DE TRANSFERENCIA (VIDE TABELA);CTIPENV;;2;;
;000001;R101;007;1;BCA;DT_MOV_INI;8;;002;003;DATA DO INICIO DO PERIODO DA MOVIMENTACAO DE CADASTRO;DTOS(DDATINI);;2;;
;000001;R101;008;1;BCA;DT_MOV_FIM;8;;003;004;DATA DO FIM DO PERIODO DA MOVIMENTACAO DO CADASTRO;DTOS(DDATFIN);;2;;
;000001;R101;009;1;BCA;NR_VER_TRA;2;;004;004;NUMERO DA VERSAO DA TRANSACAO;'04';;2;;
;000001;R102;001;1;;NR_SEQ;8;;000;000;NUMERO SEQUENCIAL DE UM REGISTRO EM UM ARQUIVO DE TRANSFERENCIA;PLSUA500LN('R102');;2;;
;000001;R102;002;1;;TP_REG;3;;000;001;TIPO DO REGISTRO PARA ARQUIVOS DE TROCA DE INFORMACOES BATCH;'102';;2;;
;000001;R102;003;1;;CD_EMPR;4;;001;001;CODIGO DA EMPRESA DO BENEFICIARIO;BQC->BQC_CODEMP;;2;;
;000001;R102;004;1;;CD_FILIAL;3;;001;001;CODIGO DA FILIAL DA EMPRESA;;;2;;
;000001;R102;005;1;;NM_EMPR_CO;40;;001;005;NOME COMPLETO DA EMPRESA (RAZAO SOCIAL);POSICIONE('BG9',1,XFILIAL('BG9')+BQC->BQC_CODINT+BQC->BQC_CODEMP,'BG9_DESCRI');;2;;
;000001;R102;006;1;;NM_EMPR_AB;18;;005;007;NOME DA EMPRESA ABREVIADO;BG9->BG9_DESCRI;;2;;
;000001;R102;007;1;;TP_PESSOA_;1;;007;007;TIPO DE PESSOA CONTRATANTE (1=FISICA 2=JURIDICA);PLSUA500EMP();;2;;
;000001;R102;008;1;;CD_CGC_CPF;15;;007;009;CODIGO DO CGC OU CPF, CONFORME O TIPO DA PESSOA CONTRATANTE;SA1->A1_CGC;;2;;
;000001;R102;009;1;;CD_INSC_ES;20;;009;011;CODIGO DA INSCRICAO ESTADUAL;SA1->A1_INSCR;;2;;
;000001;R102;010;1;;DS_END_PRI;40;;011;015;DESCRICAO DO ENDERECO PRINCIPAL;SA1->A1_END;;2;;
;000001;R102;011;1;;DS_END_CPL;20;;015;017;DESCRICAO DO ENDERECO COMPLEMENTAR;'';;2;;
;000001;R102;012;1;;DS_BAIRRO;30;;017;020;DESCRICAO DO BAIRRO;SA1->A1_BAIRRO;;2;;
;000001;R102;013;1;;NR_CEP;8;;020;021;NUMERO DO CEP;SA1->A1_CEP;;2;;
;000001;R102;014;1;;DS_CIDADE;30;;021;024;DESCRICAO DA CIDADE;SA1->A1_MUN;;2;;
;000001;R102;015;1;;CD_UF;2;;024;024;CODIGO DA UNIDADE FEDERATIVA (ESTADO DA CIDADE);SA1->A1_ESTADO;;2;;
;000001;R102;016;1;;NR_DDD;4;;024;024;NUMERO DO DDD DO TELEFONE;SA1->A1_DDD;;2;;
;000001;R102;017;1;;NR_FONE;8;;024;025;NUMERO DO TELEFONE;SA1->A1_TEL;;2;;
;000001;R102;018;1;;NR_FAX;8;;025;026;NUMERO DO FAX;SA1->A1_FAX;;2;;
;000001;R102;019;1;;DT_INCL_UN;8;;026;027;DATA DE INCLUSAO NA UNIMED;DTOS(BQC->BQC_DATCON);;2;;
;000001;R102;020;1;;DT_EXCL_UN;8;;027;027;DATA DE EXCLUSAO UNIMED;DTOS(BQC->BQC_DATBLO);;2;;
;000001;R102;021;1;;CD_EMPR_OR;10;;027;028;COD.EMP. NA ORIGEM PARA UNIMEDS QUE UTILIZAM CODIFICACAO COM MAIS DE 4 DIGITOS;BQC->BQC_CODEMP+BQC->BQC_NUMCON;;2;;
;000001;R103;001;1;;NR_SEQ;8;;000;000;NUMERO SEQUENCIAL DE UM REGISTRO EM UM ARQUIVO DE TRANSFERENCIA;PLSUA500LN('R103');;2;;
;000001;R103;002;1;;TP_REG;3;;000;001;TIPO DE REGISTRO PARA OS ARQUIVOS DE TROCA DE INFORMACOES BATCH;'103';;2;;
;000001;R103;003;1;;CD_PLANO_O;6;;001;001;CODIGO DO PLANO ORIGEM DO BENEFICIARIO;BA3->BA3_CODPLA+BA3->BA3_VERSAO;;2;;
;000001;R103;004;1;;DS_PLANO_O;40;;001;005;DESCRICAO DO PLANO DA UNIMED ORIGEM DO BENEFICIARIO;POSICIONE('BI3',1,XFILIAL('BI3')+BA3->BA3_CODINT+BA3->BA3_CODPLA+BA3->BA3_VERSAO,'BI3_DESCRI');;2;;
;000001;R103;005;1;;CD_PLANO_I;2;;005;005;CODIGO DO PLANO DE INTERCAMBIO DO BENEFICIARIO;BI3->BI3_CODPTU;;2;;
;000001;R103;006;1;;DT_INCL_UN;8;;006;006;DATA DE INCLUSAO DA UNIMED;DTOS(BI3->BI3_DATINC);;2;;
;000001;R103;007;1;;DT_EXCL_UN;8;;006;007;DATA DE EXCLUSAO UNIMED;DTOS(BI3->BI3_DATBLO);;2;;
;000001;R103;008;1;;TP_NATUREZ;1;;007;007;NATUREZA JURIDICA DA CONTRATACAO;BA3->BA3_TIPCON;;2;;
;000001;R103;009;1;;TP_ABRANGE;1;;007;007;ABRANGENCIA DO PLANO (VIDE TABELA);BA3->BA3_ABRANG;;2;;
;000001;R103;010;1;;NR_IND_REE;5;2;007;008;INDICE DE REEMBOLSO PARA SISTEMA DE LIVRE ESCOLHA;;;2;;
;000001;R104;001;1;;NR_SEQ;8;;000;000;NUMERO SEQUENCIAL DE UM REGISTRO EM UM ARQUIVO DE TRANSFERENCIA;PLSUA500LN('R104');;2;;
;000001;R104;002;1;;TP_REG;3;;000;001;TIPO DE REGISTRO PARA OS ARQUIVOS DE TROCA DE INFORMACOES BATCH;'104';;2;;
;000001;R104;003;1;;CD_UNI;4;;001;001;CODIGO DA UNIMED;BA1->BA1_OPEORI;;2;;
;000001;R104;004;1;;RESERVADO;3;;001;001;CAMPO RESERVADO PARA O FUTURO;;;2;;
;000001;R104;005;1;;ID_BENEF;13;;001;003;CODIGO DE IDENTIFICACAO DO BENEFICIARIO, INCLUINDO O DIGITO VERIFICADOR, SENDO O;BA1->BA1_CODEMP+BA1->BA1_MATRIC+BA1->BA1_TIPREG+BA1->BA1_DIGITO;;2;;
;000001;R104;006;1;;CD_FAMI;6;;003;003;CODIGO DA FAMILIA DO BENEFICIARIO;BA1->BA1_MATRIC;;2;;
;000001;R104;007;1;;NM_BENEF;25;;003;006;NOME DO BENEFICIARIO;PLSABREVIA(POSICIONE('BTS',1,XFILIAL('BTS')+BA1->BA1_MATVID,'BTS_NOMCAR'),25);;2;;
;000001;R104;008;1;;CD_PLANO_I;2;;006;006;CODIGO DO PLANO DE INTERCAMBIO DO BENEFICIARIO;BI3->BI3_CODPTU;;2;;
;000001;R104;009;1;;DT_NASC;8;;006;007;DATA DE NASCIMENTO DO BENEFICIARIO;DTOS(BTS->BTS_DATNAS);;2;;
;000001;R104;010;1;;TP_SEXO;1;;007;007;SEXO DO BENEFICIARIO;IF(BTS->BTS_SEXO=='1','M','F');;2;;
;000001;R104;011;1;;CD_CGC_CPF;15;;007;008;CGC OU CPF - CONFORME A PESSOA CONTRATANTE TP_PESSOA_CON;BTS->BTS_CPFUSR;;2;;
;000001;R104;012;1;;CD_RG;15;;008;010;CODIGO DO RG;BTS->BTS_DRGUSR;;2;;
;000001;R104;013;1;;CD_UF_RG;2;;010;010;CODIGO DA UNIDADE FEDERATIVA DO R.G.;;;2;;
;000001;R104;014;1;;CD_ECIVIL;1;;010;010;CODIGO DO ESTADO CIVIL;PTUCONV('Q,D,C,S,V','A,D,M,S,W',BTS->BTS_ESTCIV);;2;;
;000001;R104;015;1;;DT_INCL_UN;8;;010;011;DATA DA INCLUSAO NA UNIMED;DTOS(BA1->BA1_DATINC);;2;;
;000001;R104;016;1;;DT_EXCL_UN;8;;011;012;DATA DA EXCLUSAO NA UNIMED;DTOS(BA1->BA1_DATBLO);;2;;
;000001;R104;017;1;;TP_REPASSE;1;;012;012;TIPO DE REPASSE FINANCEIRO NA TRANSFERENCIA DE BENEFICIARIO;IF(BI3->BI3_MODPAG#'1','C','P');;2;;
;000001;R104;018;1;;CD_DEPE;2;;012;012;CODIGO DA DEPENDENCIA DO BENEFICIARIO;POSICIONE('BT2',1,XFILIAL('BT2')+BA1->BA1_GRAUPA,'BT2_SEQDE');;2;;
;000001;R104;019;1;;ID_NATO;1;;012;012;IDENTIFICADOR DO RECEM-NATO;;;2;;
;000001;R104;020;1;;NR_MATRICU;20;;012;014;NUMERO DA MATRICULA/FUNCIONAL NA EMPRESA;SUBSTR(BA1->BA1_MATEMP,1,20);;2;;
;000001;R104;021;1;;DT_VAL_CAR;8;;014;015;DATA DE FIM DA VALIDADE DA CARTEIRA;DTOS(BA1->BA1_DTVLCR);;2;;
;000001;R104;022;1;;CD_LCAT;4;;015;015;CODIGO DO LOCAL DE ATENDIMENTO PARA BENEFICIARIO REPASSADO;BA1->BA1_OPEDES;;2;;
;000001;R104;023;1;;CD_LOTACAO;8;;015;016;CODIGO DA LOTACAO DO BENEFICIARIO;;;2;;
;000001;R104;024;1;;DS_LOTACAO;30;;016;019;DESCRICAO DA LOTACAO;;;2;;
;000001;R104;025;1;;RESERVADO;8;;019;020;;;;2;;
;000001;R104;026;1;;RESERVADO;8;;020;021;;;;2;;
;000001;R104;027;1;;RESERVADO;8;;021;022;;;;2;;
;000001;R104;028;1;;RESERVADO;8;;022;022;;;;2;;
;000001;R104;029;1;;RESERVADO;8;;022;023;;;;2;;
;000001;R104;030;1;;RESERVADO;8;;023;024;;;;2;;
;000001;R104;031;1;;RESERVADO;8;;024;025;;;;2;;
;000001;R104;032;1;;RESERVADO;8;;025;026;;;;2;;
;000001;R104;033;1;;DT_REPASSE;8;;026;027;DATA DE REPASSE DO BENEFICIARIO A UM LCAT OU PRODUTO (PEA,SEGURO,ETC);DTOS(BA1->BA1_DATINC);;2;;
;000001;R104;034;1;;DT_FIM_REP;8;;027;028;DATA DE FIM DE REPASSE;IF(BA1->BA1_MOTBLO=='102',DTOS(BA1->BA1_DATBLO),'');;2;;
;000001;R104;035;1;;DT_INCL_PL;8;;028;029;DATA DE INCLUSAO NO PLANO DESTINO (INTERCAMBIO);DTOS(BA1->BA1_DATINC);;2;;
;000001;R104;036;1;;CD_VIA_SOL;2;;029;029;CODIGO DA VIA DO CARTAO SOLICITADA;PLSUA500CT();;2;;
;000001;R104;037;1;;CD_PLANO_O;6;;029;030;CODIGO DO PLANO DO BENEFICIARIO ORIGEM;BI3->BI3_CODPTU;;2;;
;000001;R104;038;1;;NR_VIG_ORI;4;;030;030;INICIO DA VIGENCIA DA TABELA DE PRECOS NA ORIGEM;;;2;;
;000001;R104;039;1;;ID_BENEF_T;13;;030;032;IDENTIFICACAO DO TITULAR NA ORIGEM;PLSUA500BT(1);;2;;
;000001;R104;040;1;;NM_COMPL_B;120;;032;044;NOME COMPLETO DO BENEFICIARIO;PLSUA500BT(2);;2;;
;000001;R104;041;1;;GERA_CAR;;;044;044;FUNCAO PARA GERAR AS CARENCIAS DO BENEFICIARIO;PLSUA500CR();;2;;
;000001;R104;042;1;;ATU_BENE;;;044;044;ATUALIZA OS DADOS DE EDI DO BENEFICIARIO;PLSUA500BEN();;2;;
;000001;R105;001;1;;NR_SEQ;8;;000;000;NUMERO SEQUENCIAL;PLSUA500LN('R105');;2;;
;000001;R105;002;1;;TP_REG;3;;000;001;TIPO DE REGISTRO;'105';;2;;
;000001;R105;003;1;;TP_COBERTU;3;;001;001;TIPO DE COBERTURA;TMP->TMP_TIPCOB;;2;;
;000001;R105;004;1;;DT_FIM_CAR;8;;001;002;DATA FINAL DA CARENCIA PARA A COBERTURA;DTOS(TMP->TMP_DATCAR);;2;;
;000001;R106;001;1;;NR_SEQ;8;;000;000;NUMERO SEQUENCIAL;PLSUA500LN('R106');;2;;
;000001;R106;002;1;;TP_REG;3;;000;001;TIPO DE REGISTRO;'106';;2;;
;000001;R106;003;1;;TP_PRODUTO;2;;001;001;TIPO DO PRODUTO;POSICIONE('BI3',1,XFILIAL('BI3')+BF4->BF4_CODINT+BF4->BF4_CODPRO+BF4->BF4_VERSAO,'BI3_CODPTU');;2;;
;000001;R106;004;1;;DS_PRODUTO;20;;001;003;MENSAGEM LIVRE DA ORIGEM;;;2;;
;000001;R107;001;1;;NR_SEQ;8;;000;000;NUMERO SEQUENCIAL;PLSUA500LN('R107');;2;;
;000001;R107;002;1;;TP_REG;3;;000;001;TIPO DE REGISTRO PARA OS ARQUIVOS DE TROCA DE INFORMACOES BATCH;'107';;2;;
;000001;R107;003;1;;DS_END_PRI;40;;001;005;DESCRICAO DO ENDERECO PRINCIPAL;ALLTRIM(BTS->BTS_ENDERE+' '+BTS->BTS_NR_END);;2;;
;000001;R107;004;1;;DS_BAIRRO;30;;005;008;DESCRICAO DO BAIRRO;BTS->BTS_BAIRRO;;2;;
;000001;R107;005;1;;NR_CEP;8;;008;008;CEP;BTS->BTS_CEPUSR;;2;;
;000001;R107;006;1;;DS_CIDADE;30;;009;011;DESCRICAO DA CIDADE;POSICIONE('BID',1,XFILIAL('BID')+BTS->BTS_CODMUN,'BID_DESCRI');;2;;
;000001;R107;007;1;;CD_UF;2;;012;012;ESTADO;BTS->BTS_ESTADO;;2;;
;000001;R107;008;1;;NR_DDD;4;;012;012;DDD;;;2;;
;000001;R107;009;1;;NR_FONE;8;;012;013;TELEFONE;;;2;;
;000001;R107;010;1;;NR_RAMAL;4;;013;013;RAMAL;;;2;;
;000001;R109;001;1;;NR_SEQ;8;;000;000;NUMERO SEQUENCIAL;PLSUA500LN('R109');;2;;
;000001;R109;002;1;;TP_REG;3;;000;001;TIPO DE REGISTRO;'109';;2;;
;000001;R109;003;1;;QT_TOTR102;4;;001;001;TOTAL DE REGISTRO R102;PLSUA500LN('R102',,.T.);;2;;
;000001;R109;004;1;;QT_TOTR103;4;;001;001;TOTAL DE REGISTRO R103;PLSUA500LN('R103',,.T.);;2;;
;000001;R109;005;1;;QT_TOTR104;7;;002;002;TOTAL DE REGISTRO R104;PLSUA500LN('R104',,.T.);;2;;
;000001;R109;006;1;;QT_TOT_INC;7;;002;003;TOTAL DE INCLUSOES DE BENEFICIARIOS;;;2;;
;000001;R109;007;1;;QT_TOT_EXC;7;;003;004;TOTAL DE EXCLUSOES DE BENEFICIARIOS;;;2;;
;000001;R109;008;1;;QT_TOT_ALT;7;;004;004;TOTAL DE ALTERACOES DE BENEFICIARIOS;;;2;;
;000001;R109;009;1;;QT_TOT_PLA;7;;004;005;TOTAL DE TRANSFERENCIAS DE PLANOS;;;2;;
;000001;R109;010;1;;QT_TOTR105;7;;005;006;TOTAL DE REGISTRO R105;PLSUA500LN('R105',,.T.);;2;;
;000001;R109;011;1;;QT_TOTR106;7;;006;006;TOTAL DE REGISTRO R106;PLSUA500LN('R106',,.T.);;2;;
;000001;R109;012;1;;QT_TOTR107;7;;006;007;TOTAL DE REGISTRO R107;PLSUA500LN('R107',,.T.);;2;;
;000002;EMP020;001;1;BD6;MATRICULA;6;;000;000;MATRICULA DO USUARIO;U_ASU04('MATEMP', BD6->BD6_OPEUSR, BD6->BD6_CODEMP, BD6->BD6_MATRIC, '00');;2;;
;000002;EMP020;002;1;BD6;BRANCOS;1;;000;000;BRANCOS;' ';;2;;
;000002;EMP020;003;1;BD6;USUARIO;17;;000;002;IDENTIFICACAO DO USUARIO NA UNIMED;U_ASU04('MATUSR', BD6->BD6_OPEUSR, BD6->BD6_CODEMP, BD6->BD6_MATRIC, BD6->BD6_TIPREG);;2;;
;000002;EMP020;004;1;BD6;BRANCOS;1;;002;002;BRANCOS;' ';;2;;
;000002;EMP020;005;1;BD6;NOME;30;;002;005;NOME DO USUARIO;BD6->BD6_NOMUSR;;2;;
;000002;EMP020;006;1;BD6;BRANCOS;1;;005;005;BRANCOS;' ';;2;;
;000002;EMP020;007;1;BD6;IMPRESSO;10;;005;006;CODIGO DO IMPRESSO OU DA AUTORIZACAO;STRZERO(VAL(IIF(!EMPTY(BD6->BD6_NUMIMP),SUBSTR(BD6->BD6_NUMIMP,7,10),BD6->BD6_NUMERO)),10);;2;;
;000002;EMP020;008;1;BD6;BRANCOS;1;;006;006;BRANCOS;' ';;2;;
;000002;EMP020;009;1;BD6;DESCRICAO;80;;006;014;DESCRICAO DO PROCEDIMENTO;BD6->BD6_DESPRO;;2;;
;000002;EMP020;010;1;BD6;BRANCOS;1;;014;014;BRANCOS;' ';;2;;
;000002;EMP020;011;1;BD6;VALOR;14;;014;016;VALOR DO PROCEDIMENTO;TRANSFORM(BD6->BD6_VLRTPF, '@E 99999999999.99');;2;;
;000002;EMP020;012;1;BD6;----------;2;;016;016;QUEBRA DE LINHA;CHR(13)+CHR(10);;2;;
;000002;EMP020;013;1;BD6;MATRICULA;6;;016;017;MATRICULA DO USUARIO;U_ASU04('MATEMP', BD6->BD6_OPEUSR, BD6->BD6_CODEMP, BD6->BD6_MATRIC, '00');;2;;
;000002;EMP020;014;1;BD6;BRANCOS;1;;017;017;BRANCOS;' ';;2;;
;000002;EMP020;015;1;BD6;USUARIO;17;;017;018;IDENTIFICACAO DO USUARIO NA UNIMED;U_ASU04('MATUSR', BD6->BD6_OPEUSR, BD6->BD6_CODEMP, BD6->BD6_MATRIC, BD6->BD6_TIPREG);;2;;
;000002;EMP020;016;1;BD6;BRANCOS;1;;018;018;BRANCOS;' ';;2;;
;000002;EMP020;017;1;BD6;NOME;30;;019;021;NOME DO USUARIO;BD6->BD6_NOMUSR;;2;;
;000002;EMP020;018;1;BD6;BRANCOS;1;;022;022;BRANCOS;' ';;2;;
;000002;EMP020;019;1;BD6;IMPRESSO;10;;022;023;ZEROS;'0000000000';;2;;
;000002;EMP020;020;1;BD6;BRANCOS;1;;023;023;BRANCOS;' ';;2;;
;000002;EMP020;021;1;BD6;MENSAGEM;80;;023;031;MENSAGEM;'DESCONTO INSS - 15% - SOBRE SERVICOS MEDICOS';;2;;
;000002;EMP020;022;1;BD6;BRANCOS;1;;031;031;BRANCOS;' ';;2;;
;000002;EMP020;023;1;BD6;VALOR INSS;14;;031;032;VALOR INSS;TRANSFORM(U_ASU01(BD6->BD6_VLRTPF, BD6->BD6_CODRDA), '@E 99999999999.99');;2;;
;000002;EMP020;024;1;;;;;032;032;;PTULN('PROF');;2;;
;000003;DSI01;001;1;BD6;CODIGO AMB;4;;000;000;CODIGO AMB;'0000';;2;;
;000003;DSI01;002;1;BD6;TIPO AMB;2;;000;000;TIPO AMB;'00';;2;;
;000003;DSI01;003;1;BD6;CODIGO REG;2;;000;000;CODIGO REG CONST = DP;'DP';;2;;
;000003;DSI01;004;1;BD6;TIPO REG;3;;000;001;TIPO REG CONST = 103;'103';;2;;
;000003;DSI01;005;1;BD6;CONTRATO;6;;001;001;NUMERO DO CONTRATO;'110008';;2;;
;000003;DSI01;006;1;BD6;CSP;5;;001;002;NUMERO CSP;MV_PAR03;;2;;
;000003;DSI01;007;1;BD6;DSP;6;;002;002;NUMERO DSP;U_CESP04( BD6->BD6_CODPEG, BD6->BD6_NUMERO, BD6->BD6_NUMIMP );;2;;
;000003;DSI01;008;1;BD6;EMISSAO;8;;002;003;DATA EMISSAO;SUBSTR(DTOS(BD6->BD6_DATPRO),7,2)+SUBSTR(DTOS(BD6->BD6_DATPRO),5,2)+SUBSTR(DTOS(BD6->BD6_DATPRO),1,4);;2;;
;000003;DSI01;009;1;BD6;EMPRESA;3;;003;003;EMPRESA;SUBSTR(POSICIONE('BA1', 2, XFILIAL('BA1')+BD6->BD6_OPEUSR+BD6->BD6_CODEMP+BD6->BD6_MATRIC+BD6->BD6_TIPREG, 'BA1_MATEMP'),1,3);;2;;
;000003;DSI01;010;1;BD6;BRANCOS;1;;004;004;USO FUNDACAO - PREEENCHER COM BRANCOS;SPACE(1);;2;;
;000003;DSI01;011;1;BD6;MATRICULA;7;;004;004;MATRICULA DA EMPRESA;SUBSTR(POSICIONE('BA1', 2, XFILIAL('BA1')+BD6->BD6_OPEUSR+BD6->BD6_CODEMP+BD6->BD6_MATRIC+BD6->BD6_TIPREG, 'BA1_MATEMP'),4,7);;2;;
;000003;DSI01;012;1;BD6;DIGITO MAT;1;;004;004;DIGITO DA MATRICULA;SUBSTR(POSICIONE('BA1', 2, XFILIAL('BA1')+BD6->BD6_OPEUSR+BD6->BD6_CODEMP+BD6->BD6_MATRIC+BD6->BD6_TIPREG, 'BA1_MATEMP'),11,1);;2;;
;000003;DSI01;013;1;BD6;VAL CI;8;;004;005;VALIDADE DA CI;'00000000';;2;;
;000003;DSI01;014;1;BD6;COD BENEF;3;;005;005;CODIGO DO BENEFICIARIO;SUBSTR(POSICIONE('BA1', 2, XFILIAL('BA1')+BD6->BD6_OPEUSR+BD6->BD6_CODEMP+BD6->BD6_MATRIC+BD6->BD6_TIPREG, 'BA1_MATEMP'),12,3);;2;;
;000003;DSI01;015;1;BD6;CID;4;;006;006;CID;BD6->BD6_CID;;2;;
;000003;DSI01;016;1;BD6;BRANCOS;1;;006;006;USO FUNDACAO - PREENCHER COM BRANCOS;SPACE(1);;2;;
;000003;DSI01;017;1;BD6;ATEND HOSP;1;;006;006;ATENDIMENTO HOSPITALAR;'0';;2;;
;000003;DSI01;018;1;BD6;FUNC CIRUR;1;;006;006;FC - FUNCAO CIRURGICA;'0';;2;;
;000003;DSI01;019;1;BD6;COD SERVIC;8;;006;007;CODIGO DO SERVICO;IIF(BD7->BD7_CODUNM == 'FIL', '963000019', BD6->BD6_CODPRO);;2;;
;000003;DSI01;020;1;BD6;TIPO CIRUR;1;;007;007;TC - TIPO DE CIRURGIA;'0';;2;;
;000003;DSI01;021;1;BD6;QTD SERVIC;2;;007;007;QUANTIDADE DE SERVICO;STRZERO(BD6->BD6_QTDPRO,2);;2;;
;000003;DSI01;022;1;BD6;HORARIO;1;;007;007;HO - HORARIO 1-NORMAL/ PRE ESTABELECIDO OU 2 - EXTRAORDINARIO;'1';;2;;
;000003;DSI01;023;1;BD6;VALOR APRE;11;;007;008;CUSTO TOTAL DO SERVICO;SUBSTR(TRANSFORM(BD7->BD7_VLRTPF, '@E 999999999.99'),1,9) + SUBSTR(TRANSFORM(BD7->BD7_VLRTPF, '@E 999999999.99'),11,2);;2;;
;000003;DSI01;024;1;BD6;ENT INTERN;8;;009;009;DATA DE ENTRADA NA INTERNACAO;U_CESP03('INT');;2;;
;000003;DSI01;025;1;BD6;SAI INTERN;8;;009;010;DATA DE SAIDA DA INTERNACAO;U_CESP03('ALT');;2;;
;000003;DSI01;026;1;BD6;MOT ALTA;1;;010;010;MOTIVO DA ALTA;'0';;2;;
;000003;DSI01;027;1;BD6;CIH;6;;010;011;C.I.H.;STRZERO(VAL(BD6->BD6_NRAEMP),6);;2;;
;000003;DSI01;028;1;DB6;BRANCOS;16;;011;012;USO FUNDACAO - PREENCHER COM BRANCOS;SPACE(16);;2;;
;000003;DSI01;029;1;DB6;NTOTREG;;;012;012;TOTAL DE REGISTROS;NTOTREG++;;2;;
;000003;DSI01;030;1;DB6;NTOTVAL;;;012;012;TOTAL DE VALORES APRESENTADOS;NTOTVAL+=BD7->BD7_VLRTPF;;2;;
;000003;DSI01;031;1;;;;;012;012;;PTULN('CESP');;2;;
;000003;DSI02;001;1;;BRANCOS;7;;000;000;USO FUNDACAO - PREENCHER COM BRANCOS;'       ';;2;;
;000003;DSI02;002;1;;CODIGO REG;2;;000;000;CODIGO REG CONST;'DP';;2;;
;000003;DSI02;003;1;;TIPO REG;3;;001;001;TIPO REG CONST;'133';;2;;
;000003;DSI02;004;1;;CONTRATO;6;;001;001;NUMERO DO CONTRATO;'110008';;2;;
;000003;DSI02;005;1;;NUM CSP;5;;001;002;NUMERO CSP;'56495';;2;;
;000003;DSI02;006;1;;BRANCOS;35;;002;005;USO FUNDACAO - PREENCHER COM BRANCOS;'     ';;2;;
;000003;DSI02;007;1;;PER INI;8;;005;006;PERIODO INICIAL DE COBRANCA;'00000000';;2;;
;000003;DSI02;008;1;;PER FIM;8;;006;007;PERIODO FINAL DE COBRANCA;'00000000';;2;;
;000003;DSI02;009;1;;NTOTREG;4;;007;007;QUANTIDADE;NTOTREG;;2;;
;000003;DSI02;010;1;;NTOTVAL;12;;007;009;VALOR TOTAL DA REMESSA;NTOTVAL;;2;;
;000003;DSI02;011;1;;BRANCOS;38;;009;012;USO FUNDACAO - PREENCHER COM BRANCOS;' ';;2;;
;000004;DSC02;001;1;BD6;CODIGO AMB;4;;000;000;CODIGO AMB;'0000';;2;;
;000004;DSC02;002;1;BD6;TIPO AMB;2;;000;000;TIPO AMB;'00';;2;;
;000004;DSC02;003;1;BD6;CODIGO REG;2;;000;000;CODIGO REG CONST = DP;'DP';;2;;
;000004;DSC02;004;1;BD6;TIPO REG;3;;000;001;TIPO REG CONST = 103;'103';;2;;
;000004;DSC02;005;1;BD6;CONTRATO;6;;001;001;NUMERO DO CONTRATO;'110008';;2;;
;000004;DSC02;006;1;BD6;CSP;5;;001;002;NUMERO CSP;MV_PAR03;;2;;
;000004;DSC02;007;1;BD6;DSP;6;;002;002;NUMERO DSP;U_CESP04( BD6->BD6_CODPEG, BD6->BD6_NUMERO, BD6->BD6_NUMIMP );;2;;
;000004;DSC02;008;1;BD6;EMISSAO;8;;002;003;DATA EMISSAO;SUBSTR(DTOS(BD6->BD6_DATPRO),7,2)+SUBSTR(DTOS(BD6->BD6_DATPRO),5,2)+SUBSTR(DTOS(BD6->BD6_DATPRO),1,4);;2;;
;000004;DSC02;009;1;BD6;EMPRESA;3;;003;003;EMPRESA;SUBSTR(POSICIONE('BA1', 2, XFILIAL('BA1')+BD6->BD6_OPEUSR+BD6->BD6_CODEMP+BD6->BD6_MATRIC+BD6->BD6_TIPREG, 'BA1_MATEMP'),1,3);;2;;
;000004;DSC02;010;1;BD6;BRANCOS;1;;004;004;USO FUNDACAO - PREEENCHER COM BRANCOS;SPACE(1);;2;;
;000004;DSC02;011;1;BD6;MATRICULA;7;;004;004;MATRICULA;SUBSTR(POSICIONE('BA1', 2, XFILIAL('BA1')+BD6->BD6_OPEUSR+BD6->BD6_CODEMP+BD6->BD6_MATRIC+BD6->BD6_TIPREG, 'BA1_MATEMP'),4,7);;2;;
