CT5_LANPAD~CT5_SEQUEN~CT5_DESC~CT5_STATUS~CT5_DC~CT5_DEBITO~CT5_CREDIT~CT5_MOEDAS~CT5_VLR01~CT5_VLR02~CT5_VLR03~CT5_VLR04~CT5_VLR05~CT5_HIST~CT5_HAGLUT~CT5_CCD~CT5_CCC~CT5_ORIGEM~CT5_INTERC~CT5_ITEMD~CT5_ITEMC~CT5_CLVLDB~CT5_CLVLCR~CT5_TPSALD~CT5_SBLOTE~CT5_MLTSLD~CT5_CTRLSD~CT5_EC05DB~CT5_EC05CR~CT5_EC06DB~CT5_EC06CR
9BD~5~D.APROPRIACAO DESP ASSIST.(BD7)-PCC      ~1~1~1221290110001~~12222~U_PLCTB9BD('005')~~~~~U_PLCTBORH('9BD','005','H')~U_PLCTBORH('9BD','005','A')~~~U_PLCTBORH('9BD','005','O')~2~~~~~1~55~;1~2~~~~
9BD~6~C.APROPRIACAO DESP ASSIST.(BD7)-PCC      ~1~2~~1221290120001~12222~U_PLCTB9BD('006')~~~~~U_PLCTBORH('9BD','006','H')~U_PLCTBORH('9BD','006','A')~~~U_PLCTBORH('9BD','006','O')~2~~~~~1~55~;1~2~~~~
9BD~7~D.APROPRIACAO DESP ASSIST.(BD7)-INS      ~1~1~1221290210001~~12222~U_PLCTB9BD('007')~~~~~U_PLCTBORH('9BD','007','H')~U_PLCTBORH('9BD','007','A')~~~U_PLCTBORH('9BD','007','O')~2~~~~~1~55~;1~2~~~~
9BD~8~C.APROPRIACAO DESP ASSIST.(BD7)-INS      ~1~2~~1221290220001~12222~U_PLCTB9BD('008')~~~~~U_PLCTBORH('9BD','008','H')~U_PLCTBORH('9BD','008','A')~~~U_PLCTBORH('9BD','008','O')~2~~~~~1~55~;1~2~~~~
9BD~9~C.APROPRIACAO DESP ASSIST(BD7)-CRE-MTJR  ~1~2~~1221290810001~12222~U_PLCTB9BD('009')~~~~~U_PLCTBORH('9BD','009','H')~U_PLCTBORH('9BD','010','A')~~~U_PLCTBORH('9BD','009','O')~2~~~~~1~55~;1~2~~~~
9BD~10~D.APROPRIACAO DESP ASSIST(BD7)-DEB-DC   ~1~1~1221290820001~~12222~U_PLCTB9BD('010')~~~~~U_PLCTBORH('9BD','010','H')~U_PLCTBORH('9BD','011','A')~~~U_PLCTBORH('9BD','010','O')~2~~~~~1~55~;1~2~~~~
9BL~1~D.CANC B.APROPRI DESP ASSIST.(BD7)-PAG   ~1~1~1221290990001~~12222~U_PLCTB9BL('001')~~~~~U_PLCTBORH('9BL','001','H')~U_PLCTBORH('9BL','001','A')~~~U_PLCTBORH('9BL','001','O')~2~~~~~1~56~;1~2~~~~
9BL~2~C.CANC B.APROPRI DESP ASSIST.(BD7)-PAG   ~1~2~~1221390110001~12222~U_PLCTB9BL('002')~~~~~U_PLCTBORH('9BL','002','H')~U_PLCTBORH('9BL','002','A')~~~U_PLCTBORH('9BL','002','O')~2~~~~~1~56~;1~2~~~~
9BL~3~D.CANC B.APROPRI DESP ASSIST.(BD7)-ISS   ~1~1~1221390120001~~12222~U_PLCTB9BL('003')~~~~~U_PLCTBORH('9BL','003','H')~U_PLCTBORH('9BL','003','A')~~~U_PLCTBORH('9BL','003','O')~2~~~~~1~56~;1~2~~~~
9BL~4~C.CANC B.APROPRI DESP ASSIST.(BD7)-ISS   ~1~2~~1221390810001~12222~U_PLCTB9BL('004')~~~~~U_PLCTBORH('9BL','004','H')~U_PLCTBORH('9BL','004','A')~~~U_PLCTBORH('9BL','004','O')~2~~~~~1~56~;1~2~~~~
