BW4_CODOPE;BW4_CODTAB;BW4_PORTE;BW4_VLRREA;BW4_VIGINI;BW4_VIGFIN
0001;035;7C;571.07;;
0001;035;8A;616.48;;
0001;035;8B;646.35;;
0001;035;8C;685.77;;
0001;035;9A;728.79;;
0001;035;9B;796.89;;
0001;035;9C;878.11;;
0001;035;10A;942.64;;
0001;035;10B;1.021.49;;
0001;035;10C;1.133.79;;
0001;035;11A;1.199.51;;
0001;035;11B;1.315.40;;
0001;035;11C;1.443.24;;
0001;035;12A;1.495.80;;
0001;035;12B;1.608.11;;
0001;035;12C;1.970.10;;
0001;035;13A;2.168.43;;
0001;035;13B;2.378.70;;
0001;035;13C;2.630.79;;
0001;035;14A;2.931.86;;
0001;035;14B;3.189.93;;
0001;035;14C;3.518.47;;
0001;036;1A;13.59;;
0001;036;1B;27.18;;
0001;036;1C;40.78;;
0001;036;2A;54.38;;
0001;036;2B;71.68;;
0001;036;2C;84.83;;
0001;036;3A;115.91;;
0001;036;3B;148.11;;
0001;036;3C;169.65;;
0001;036;4A;201.91;;
0001;036;4B;221.03;;
0001;036;4C;249.70;;
0001;036;5A;268.81;;
0001;036;5B;290.32;;
0001;036;5C;308.23;;
0001;036;6A;335.72;;
0001;036;6B;369.18;;
0001;036;6C;403.82;;
0001;036;7A;436.08;;
0001;036;7B;482.67;;
0001;036;7C;571.07;;
0001;036;8A;616.48;;
0001;036;8B;646.35;;
0001;036;8C;685.77;;
0001;036;9A;728.79;;
0001;036;9B;796.89;;
0001;036;9C;878.11;;
0001;036;10A;942.64;;
0001;036;10B;1.021.49;;
0001;036;10C;1.133.79;;
0001;036;11A;1.199.51;;
0001;036;11B;1.315.40;;
0001;036;11C;1.443.24;;
0001;036;12A;1.495.80;;
0001;036;12B;1.608.11;;
0001;036;12C;1.970.10;;
0001;036;13A;2.168.43;;
0001;036;13B;2.378.70;;
0001;036;13C;2.630.79;;
0001;036;14A;2.931.86;;
0001;036;14B;3.189.93;;
0001;036;14C;3.518.47;;
0001;037;1A;13.59;;
0001;037;1B;27.18;;
0001;037;1C;40.78;;
0001;037;2A;54.38;;
0001;037;2B;71.68;;
0001;037;2C;84.83;;
0001;037;3A;115.91;;
0001;037;3B;148.11;;
0001;037;3C;169.65;;
0001;037;4A;201.91;;
0001;037;4B;221.03;;
0001;037;4C;249.70;;
0001;037;5A;268.81;;
0001;037;5B;290.32;;
0001;037;5C;308.23;;
0001;037;6A;335.72;;
0001;037;6B;369.18;;
0001;037;6C;403.82;;
0001;037;7A;436.08;;
0001;037;7B;482.67;;
0001;037;7C;571.07;;
0001;037;8A;616.48;;
0001;037;8B;646.35;;
0001;037;8C;685.77;;
0001;037;9A;728.79;;
0001;037;9B;796.89;;
0001;037;9C;878.11;;
0001;037;10A;942.64;;
0001;037;10B;1.021.49;;
0001;037;10C;1.133.79;;
0001;037;11A;1.199.51;;
0001;037;11B;1.315.40;;
0001;037;11C;1.443.24;;
0001;037;12A;1.495.80;;
0001;037;12B;1.608.11;;
0001;037;12C;1.970.10;;
0001;037;13A;2.168.43;;
0001;037;13B;2.378.70;;
0001;037;13C;2.630.79;;
0001;037;14A;2.931.86;;
0001;037;14B;3.189.93;;
0001;037;14C;3.518.47;;
0001;038;1A;13.59;;
0001;038;1B;27.18;;
0001;038;1C;40.78;;
0001;038;2A;54.38;;
0001;038;2B;71.68;;
0001;038;2C;84.83;;
0001;038;3A;115.91;;
0001;038;3B;148.11;;
0001;038;3C;169.65;;
0001;038;4A;201.91;;
0001;038;4B;221.03;;
0001;038;4C;249.70;;
0001;038;5A;268.81;;
0001;038;5B;290.32;;
0001;038;5C;308.23;;
0001;038;6A;335.72;;
0001;038;6B;369.18;;
0001;038;6C;403.82;;
0001;038;7A;436.08;;
0001;038;7B;482.67;;
0001;038;7C;571.07;;
0001;038;8A;616.48;;
0001;038;8B;646.35;;
0001;038;8C;685.77;;
0001;038;9A;728.79;;
0001;038;9B;796.89;;
0001;038;9C;878.11;;
0001;038;10A;942.64;;
0001;038;10B;1.021.49;;
0001;038;10C;1.133.79;;
0001;038;11A;1.199.51;;
0001;038;11B;1.315.40;;
0001;038;11C;1.443.24;;
0001;038;12A;1.495.80;;
0001;038;12B;1.608.11;;
0001;038;12C;1.970.10;;
0001;038;13A;2.168.43;;
0001;038;13B;2.378.70;;
0001;038;13C;2.630.79;;
0001;038;14A;2.931.86;;
0001;038;14B;3.189.93;;
0001;038;14C;3.518.47;;
