DE0_FILIAL,C,2,0;DE0_CODLAY,C,6,0;DE0_CODREG,C,6,0;DE0_STATUS,C,1,0;DE0_TAMREG,N,4,0;DE0_IDTREG,C,3,0;DE0_CODRCP,C,6,0;DE0_OCOREG,N,3,0;DE0_ALIAS,C,3,0;DE0_POSICI,C,1,0;DE0_POSORD,C,1,0;DE0_POSCHV,C,100,0;DE0_COND,C,254,0;DE0_VALID,C,254,0;DE0_NOMARQ,C,121,0;DE0_CTRTAM,C,1,0;DE0_CODQRY,C,6,0;DE0_CODRC2,C,6,0;DE0_CODRC3,C,6,0;DE0_CODRC4,C,6,0;DE0_CODRC5,C,6,0;DE0_CODRC6,C,6,0
;A550I;R551;1;262;;;;R51;2;;;R51->(!EOF());;;;;;;;;
;A550I;R552;1;652;;R553;;R52;2;;;R52->(!EOF());;;2;;;;;;
;A550I;R553;1;515;;;;R53;2;;;R53->(CHAVE)=R52->(CHAVE);;;;;;;;;
;A550I;R553A;1;515;;R557;;R5R;2;;;R5R->(!EOF());;;;;;;;;
;A550I;R557;1;173;;;;R57;2;;;R5R->(CHAVE)=R57->(CHAVE);;;;;;;;;
;A550I;R559;1;82;;;;R59;2;;;R59->(!EOF());;;;;;;;;
;A550I;R558;1;304;;;;R58;2;;;R58->(!EOF());;;;;;;;;
;A700G;R701;1;49;;R702;;;2;;;;;;;;;;;;
;A700G;R702;1;489;;R703;;R02;2;;;R02->(!EOF());;;;;R704;R705;;;
;A700G;R703;1;465;;;;R03;1;1;SUBSTR(R02->CHAVE,1,28)+'703';SUBSTR(R02->CHAVE,1,28)==SUBSTR(R03->CHAVE,1,28) .and. SUBSTR(R03->CHAVE,29,3)=='703' .and. R03->(!EOF());R03->R703<>Space(242);;;;;;;;
;A700G;R704;1;774;;;;R04;1;1;SUBSTR(R02->CHAVE,1,28)+'704';SUBSTR(R02->CHAVE,1,28)==SUBSTR(R04->CHAVE,1,28) .and. SUBSTR(R04->CHAVE,29,3)=='704' .and. R04->(!EOF());;;;;;;;;
;A700G;R705;1;151;;;;R05;1;1;SUBSTR(R02->CHAVE,1,28)+'705';SUBSTR(R02->CHAVE,1,28)==SUBSTR(R05->CHAVE,1,28) .and. SUBSTR(R05->CHAVE,29,3)=='705' .and. R05->(!EOF());;;;;;;;;
;A700G;R709;1;94;;;;;2;;;;;;;;;;;;
;A900B;R901;1;26;;;;;2;;;;;;;;;;;;
;A900B;R902;1;408;;R903;;R02;2;;;R02->(!EOF());;;;;R904;;;;
;A900B;R905;1;188;;;;R03;1;1;SUBSTR(R02->CHAVE,1,19)+'903';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R03->CHAVE,1,19) .and. SUBSTR(R03->CHAVE,20,3)=='903' .and. R03->(!EOF());R03->R903<>Space(127);;;;;;;;
;A900B;R906;1;33;;;;;2;;;;;;;;;;;;
;A900B;R909;1;27;;;;;2;;;;;;;;;;;;
;A1200B;R201;1;27;;;;;2;;;R01->(!EOF());;;;;;;;;
;A1200B;R202;1;287;;R203;;R02;2;;SUBSTR(R02->CHAVE,1,8);R02->(!EOF());;;;;R204;R205;;;
;A1200B;R203;1;20;;;;R03;2;;SUBSTR(R03->CHAVE,1,8);R03->(!EOF())  .AND. SUBSTR(R02->CHAVE,1,8)==SUBSTR(R03->CHAVE,1,8);;;;;;;;;
;A1200B;R204;1;126;;;;R04;2;;SUBSTR(R04->CHAVE,1,8);R04->(!EOF())  .AND. SUBSTR(R02->CHAVE,1,8)==SUBSTR(R04->CHAVE,1,8);;;;;;;;;
;A1200B;R210;1;79;;;;R10;2;;SUBSTR(R10->CHAVE,1,8);R10->(!EOF());;;;;;;;;
;A1200B;R211;1;35;;;;R11;2;;SUBSTR(R11->CHAVE,1,8);R11->(!EOF());;;;;;;;;
;A1200B;R215;1;41;;;;;2;;;;;;;;;;;;
;A1200B;R205;1;115;;;;R05;2;;SUBSTR(R05->CHAVE,1,8);R05->(!EOF())  .AND. SUBSTR(R02->CHAVE,1,8)==SUBSTR(R05->CHAVE,1,8);;;;;;;;;
;A1300C;R301;1;46;;;;;2;;;;;;;;;;;;
;A1300C;R302;1;393;;R303;;R02;2;;;R02->(!Eof());;;;;;;;;
;A1300C;R303;1;400;;R305;;R03;2;;R03->CHAVE;R02->CHAVE == SUBSTR(R03->CHAVE,1,len(R02->CHAVE))  .and. R03->(!EOF());;;;;R311;;;;
;A1300C;R305;1;223;;;;R05;2;;R03->CHAVE;R03->CHAVE == R05->CHAVE  .and. R05->(!EOF());;;;;;;;;
;A1300C;R306;1;82;;R307;;R06;2;;R03->CHAVE;R03->CHAVE == R06->CHAVE  .and. R06->(!EOF());;;;;R308;;;;
;A1300C;R307;1;63;;;;R07;2;;R03->CHAVE;R03->CHAVE == R07->CHAVE  .and.  R06->CHAVE == R07->CHAVE .and. R07->(!EOF());;;;;;;;;
;A1300C;R308;1;368;;R309;;R08;2;;R03->CHAVE;R03->CHAVE == R08->CHAVE  .and.  R06->CHAVE == R08->CHAVE .and. R08->(!EOF());;;;;R310;;;;
;A1300C;R309;1;20;;;;R09;2;;R03->CHAVE;R03->CHAVE == R09->CHAVE  .and.  R06->CHAVE == R09->CHAVE .and. R09->(!EOF());;;;;;;;;
;A1300C;R310;1;22;;;;R10;2;;R03->CHAVE;R03->CHAVE == R10->CHAVE  .and.  R06->CHAVE == R10->CHAVE .and. R10->(!EOF());;;;;;;;;
;A1300C;R317;1;178;;;;R17;2;;;R17->(!EOF());;;;;;;;;
;A1300C;R318;1;137;;;;R18;2;;;R18->(!EOF());;;;;;;;;
;A1300C;R319;1;88;;;;R19;2;;;R19->(!EOF());;;;;;;;;
;A1300C;R311;1;182;;R306;;R11;2;;R03->CHAVE;R03->CHAVE == R11->CHAVE  .and. R11->(!EOF());;;;;;;;;
;A500N;R501;1;240;;R502;;;2;;;;;;;;R507;;;;
;A500N;R502;1;589;;R503;;R02;2;;;R02->(!EOF());;;;;R504;R505;;;
;A500N;R503;1;579;;;;R03;1;1;SUBSTR(R02->CHAVE,1,19)+'503';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R03->CHAVE,1,19) .and. SUBSTR(R03->CHAVE,20,3)=='503' .and. R03->(!EOF());R03->R503<>Space(242);;;;;;;;
