DE0_FILIAL,C,2,0;DE0_CODLAY,C,6,0;DE0_CODREG,C,6,0;DE0_STATUS,C,1,0;DE0_TAMREG,N,4,0;DE0_IDTREG,C,3,0;DE0_CODRCP,C,6,0;DE0_OCOREG,N,3,0;DE0_ALIAS,C,3,0;DE0_POSICI,C,1,0;DE0_POSORD,C,1,0;DE0_POSCHV,C,100,0;DE0_COND,C,254,0;DE0_VALID,C,254,0;DE0_NOMARQ,C,121,0;DE0_CTRTAM,C,1,0;DE0_CODQRY,C,6,0;DE0_CODRC2,C,6,0;DE0_CODRC3,C,6,0;DE0_CODRC4,C,6,0;DE0_CODRC5,C,6,0;DE0_CODRC6,C,6,0
;A100G;R105;1;22;105;;;R05;2;;;R05->(!Eof()) .and. R04->CODEMP == R05->CODEMP .and. R04->CODPLA == R05->CODPLA .and. R04->MATRIC == R05->MATRIC;;;;;;;;;
;A100G;R107;1;152;107;;;R07;2;;;R07->(!Eof()) .and. R04->CODEMP == R07->CODEMP .and. R04->CODPLA == R07->CODPLA .and. R04->MATRIC == R07->MATRIC;;;;;;;;;
;A100G;R108;1;23;108;;;R08;2;;;R08->(!Eof()) .and. R04->CODEMP == R08->CODEMP .and. R04->CODPLA == R08->CODPLA .and. R04->MATRIC == R08->MATRIC;;;;;;;;;
;A100G;R109;1;82;109;;;R09;2;;;R09->(!Eof());;;;;;;;;
;A400K;R401;1;36;;;;;2;;;;;;2;;;;;;
;A400K;R402;1;667;;R403;;TMP;2;;;TMP->(!Eof());A400Valid('402');;2;;R405;R406;R407;R408;R410
;A400K;R403;1;668;;R404;;TMP;2;;;TMP->CODIGO==cPresta .and. TMP->CODINT==cCodInt .and. TMP->(!Eof());A400Valid('403');;2;;;;;;
;A400K;R404;1;14;;;;R04;2;;;R04->CODPRE= TMP->CODIGO .AND. R04->ATELOC=TMP->CODLOC  .AND. R04->(!Eof());A400Valid('404');;2;;;;;;
;A400K;R405;1;56;;;;R05;2;;;R05->(!Eof());A400Valid('405');;2;;;;;;
;A400K;R406;1;120;;;;R06;2;;;R06->(!Eof());A400Valid('406');;2;;;;;;
;A400K;R407;1;18;;;;R07;2;;;R07->(!Eof());A400Valid('407');;2;;;;;;
;A400K;R408;1;34;;;;R08;2;;;lGera408 .AND. R08->(!Eof());;;2;;;;;;
;A400K;R410;1;261;;;;;2;;;;lGera410;;2;;;;;;
;A400K;R499;1;67;;;;;2;;;;;;2;;;;;;
;A500Q;R501;1;240;;R502;;;2;;;;;;;;R507;;;;
;A500Q;R502;1;690;;R503;;R02;2;;;R02->(!EOF());;;;;R504;R505;;;
;A500Q;R503;1;569;;;;R03;1;1;SUBSTR(R02->CHAVE,1,19)+'503';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R03->CHAVE,1,19) .and. SUBSTR(R03->CHAVE,20,3)=='503' .and. R03->(!EOF());R03->R503<>Space(569);;;;;;;;
;A500Q;R504;1;1082;1;;;R04;1;1;SUBSTR(R02->CHAVE,1,19)+'504';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R04->CHAVE,1,19) .and. SUBSTR(R04->CHAVE,20,3)=='504' .and. R04->(!EOF());;;2;;;;;;
;A500Q;R505;1;151;;;;R05;1;1;SUBSTR(R02->CHAVE,1,19)+'505';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R05->CHAVE,1,19) .and. SUBSTR(R05->CHAVE,20,3)=='505' .and. R05->(!EOF());;;;;;;;;
;A500Q;R506;1;999;;;;R06;2;;;R06->(!EOF());;;;;;;;;
;A500Q;R507;1;234;;R508;;R07;2;;;R07->(!EOF());;;;;;;;;
;A500Q;R508;1;346;;;;R08;2;;;SUBSTR(R07->CHAVE,1,19)==SUBSTR(R08->CHAVE,1,19) .and.  R08->(!EOF());;;;;;;;;
;A500Q;R509;1;76;;;;;2;;;;;;;;;;;;
;A550K;R551;1;262;;;;R51;2;;;R51->(!EOF());;;;;;;;;
;A550K;R552;1;652;;R553;;R52;2;;;R52->(!EOF());;;2;;;;;;
;A550K;R553;1;515;;;;R53;2;;;R53->(CHAVE)=R52->(CHAVE);;;;;;;;;
;A550K;R553A;1;515;;R557;;R5R;2;;;R5R->(!EOF());;;;;;;;;
;A550K;R557;1;173;;;;R57;2;;;R5R->(CHAVE)=R57->(CHAVE);;;;;;;;;
;A550K;R559;1;82;;;;R59;2;;;R59->(!EOF());;;;;;;;;
;A550K;R558;1;304;;;;R58;2;;;R58->(!EOF());;;;;;;;;
;A500R;R501;1;240;;R502;;;2;;;;;;;;R507;;;;
;A500R;R502;1;690;;R503;;R02;2;;;R02->(!EOF());;;;;R504;R505;;;
;A500R;R503;1;569;;;;R03;1;1;SUBSTR(R02->CHAVE,1,19)+'503';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R03->CHAVE,1,19) .and. SUBSTR(R03->CHAVE,20,3)=='503' .and. R03->(!EOF());R03->R503<>Space(569);;;;;;;;
;A500R;R504;1;1082;1;;;R04;1;1;SUBSTR(R02->CHAVE,1,19)+'504';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R04->CHAVE,1,19) .and. SUBSTR(R04->CHAVE,20,3)=='504' .and. R04->(!EOF());;;2;;;;;;
;A500R;R505;1;151;;;;R05;1;1;SUBSTR(R02->CHAVE,1,19)+'505';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R05->CHAVE,1,19) .and. SUBSTR(R05->CHAVE,20,3)=='505' .and. R05->(!EOF());;;;;;;;;
;A500R;R506;1;999;;;;R06;2;;;R06->(!EOF());;;;;;;;;
;A500R;R507;1;234;;R508;;R07;2;;;R07->(!EOF());;;;;;;;;
;A500R;R508;1;346;;;;R08;2;;;SUBSTR(R07->CHAVE,1,19)==SUBSTR(R08->CHAVE,1,19) .and.  R08->(!EOF());;;;;;;;;
;A500R;R509;1;76;;;;;2;;;;;;;;;;;;
;A400L;R401;1;36;;;;;2;;;;;;2;;;;;;
;A400L;R402;1;667;;R403;;TMP;2;;;TMP->(!Eof());A400Valid('402');;2;;R405;R406;R407;R408;R410
;A400L;R403;1;684;;R404;;TMP;2;;;TMP->CODIGO==cPresta .and. TMP->CODINT==cCodInt .and. TMP->(!Eof());A400Valid('403');;2;;;;;;
;A400L;R404;1;14;;;;R04;2;;;R04->CODPRE= TMP->CODIGO .AND. R04->ATELOC=TMP->CODLOC  .AND. R04->(!Eof());A400Valid('404');;2;;;;;;
;A400L;R405;1;56;;;;R05;2;;;R05->(!Eof());A400Valid('405');;2;;;;;;
;A400L;R406;1;120;;;;R06;2;;;R06->(!Eof());A400Valid('406');;2;;;;;;
;A400L;R407;1;18;;;;R07;2;;;R07->(!Eof());A400Valid('407');;2;;;;;;
;A400L;R408;1;34;;;;R08;2;;;lGera408 .AND. R08->(!Eof());;;2;;;;;;
;A400L;R410;1;261;;;;;2;;;;lGera410;;2;;;;;;
;A400L;R499;1;67;;;;;2;;;;;;2;;;;;;
;A1200C;R201;1;27;;;;;2;;;R01->(!EOF());;;;;;;;;
;A1200C;R202;1;290;;R203;;R02;2;;SUBSTR(R02->CHAVE,1,17);R02->(!EOF());;;;;R204;R205;;;
;A1200C;R203;1;20;;;;R03;2;;SUBSTR(R03->CHAVE,1,17);R03->(!EOF())  .AND. SUBSTR(R02->CHAVE,1,17)==SUBSTR(R03->CHAVE,1,17);;;;;;;;;
;A1200C;R204;1;143;;;;R04;2;;SUBSTR(R04->CHAVE,1,17);R04->(!EOF())  .AND. SUBSTR(R02->CHAVE,1,17)==SUBSTR(R04->CHAVE,1,17);;;;;;;;;
;A1200C;R205;1;115;;;;R05;2;;SUBSTR(R05->CHAVE,1,17);R05->(!EOF())  .AND. SUBSTR(R02->CHAVE,1,17)==SUBSTR(R05->CHAVE,1,17);;;;;;;;;
;A1200C;R210;1;79;;;;R10;2;;SUBSTR(R10->CHAVE,1,17);R10->(!EOF());;;;;;;;;
;A1200C;R211;1;35;;;;R11;2;;SUBSTR(R11->CHAVE,1,17);R11->(!EOF());;;;;;;;;
;A1200C;R215;1;41;;;;;2;;;;;;;;;;;;
;A500S;R501;1;240;;R502;;;2;;;;;;;;R507;;;;
;A500S;R502;1;690;;R503;;R02;2;;;R02->(!EOF());;;;;R504;R505;;;
;A500S;R503;1;569;;;;R03;1;1;SUBSTR(R02->CHAVE,1,19)+'503';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R03->CHAVE,1,19) .and. SUBSTR(R03->CHAVE,20,3)=='503' .and. R03->(!EOF());R03->R503<>Space(569);;;;;;;;
;A500S;R504;1;1082;1;;;R04;1;1;SUBSTR(R02->CHAVE,1,19)+'504';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R04->CHAVE,1,19) .and. SUBSTR(R04->CHAVE,20,3)=='504' .and. R04->(!EOF());;;2;;;;;;
;A500S;R505;1;151;;;;R05;1;1;SUBSTR(R02->CHAVE,1,19)+'505';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R05->CHAVE,1,19) .and. SUBSTR(R05->CHAVE,20,3)=='505' .and. R05->(!EOF());;;;;;;;;
;A500S;R506;1;999;;;;R06;2;;;R06->(!EOF());;;;;;;;;
;A500S;R507;1;234;;R508;;R07;2;;;R07->(!EOF());;;;;;;;;
;A500S;R508;1;346;;;;R08;2;;;SUBSTR(R07->CHAVE,1,19)==SUBSTR(R08->CHAVE,1,19) .and.  R08->(!EOF());;;;;;;;;
;A500S;R509;1;76;;;;;2;;;;;;;;;;;;
;A550L;R551;1;262;;;;R51;2;;;R51->(!EOF());;;;;;;;;
;A550L;R552;1;652;;R553;;R52;2;;;R52->(!EOF());;;2;;;;;;
;A550L;R553;1;515;;;;R53;2;;;R53->(CHAVE)=R52->(CHAVE);;;;;;;;;
;A550L;R553A;1;515;;R557;;R5R;2;;;R5R->(!EOF());;;;;;;;;
;A550L;R557;1;173;;;;R57;2;;;R5R->(CHAVE)=R57->(CHAVE);;;;;;;;;
;A550L;R559;1;82;;;;R59;2;;;R59->(!EOF());;;;;;;;;
;A550L;R558;1;304;;;;R58;2;;;R58->(!EOF());;;;;;;;;
;A1200D;R201;1;27;;;;;2;;;R01->(!EOF());;;;;;;;;
;A1200D;R202;1;290;;R203;;R02;2;;SUBSTR(R02->CHAVE,1,17);R02->(!EOF());;;;;R204;R205;;;
;A1200D;R203;1;20;;;;R03;2;;SUBSTR(R03->CHAVE,1,17);R03->(!EOF())  .AND. SUBSTR(R02->CHAVE,1,17)==SUBSTR(R03->CHAVE,1,17);;;;;;;;;
;A1200D;R204;1;162;;;;R04;2;;SUBSTR(R04->CHAVE,1,17);R04->(!EOF())  .AND. SUBSTR(R02->CHAVE,1,17)==SUBSTR(R04->CHAVE,1,17);;;;;;;;;
;A1200D;R205;1;145;;;;R05;2;;SUBSTR(R05->CHAVE,1,17);R05->(!EOF())  .AND. SUBSTR(R02->CHAVE,1,17)==SUBSTR(R05->CHAVE,1,17);;;;;;;;;
;A1200D;R210;1;79;;;;R10;2;;SUBSTR(R10->CHAVE,1,17);R10->(!EOF());;;;;;;;;
;A1200D;R211;1;35;;;;R11;2;;SUBSTR(R11->CHAVE,1,17);R11->(!EOF());;;;;;;;;
;A1200D;R215;1;41;;;;;2;;;;;;;;;;;;
;A400M;R401;1;36;;;;;2;;;;;;2;;;;;;
;A400M;R402;1;667;;R403;;TMP;2;;;TMP->(!Eof());A400Valid('402');;2;;R405;R406;R407;R408;R410
;A400M;R403;1;684;;R404;;TMP;2;;;TMP->CODIGO==cPresta .and. TMP->CODINT==cCodInt .and. TMP->(!Eof());A400Valid('403');;2;;;;;;
;A400M;R404;1;14;;;;R04;2;;;R04->CODPRE= TMP->CODIGO .AND. R04->ATELOC=TMP->CODLOC  .AND. R04->(!Eof());A400Valid('404');;2;;;;;;
;A400M;R405;1;56;;;;R05;2;;;R05->(!Eof());A400Valid('405');;2;;;;;;
;A400M;R406;1;120;;;;R06;2;;;R06->(!Eof());A400Valid('406');;2;;;;;;
;A400M;R407;1;18;;;;R07;2;;;R07->(!Eof());A400Valid('407');;2;;;;;;
;A400M;R408;1;34;;;;R08;2;;;lGera408 .AND. R08->(!Eof());;;2;;;;;;
;A400M;R410;1;261;;;;;2;;;;lGera410;;2;;;;;;
;A400M;R499;1;67;;;;;2;;;;;;2;;;;;;
;A1200E;R201;1;25;;;;;2;;;R01->(!EOF());;;;;;;;;
;A1200E;R202;1;1033;;R203;;R02;2;;SUBSTR(R02->CHAVE,1,17);R02->(!EOF());;;;;R204;;;;
;A1200E;R203;1;145;;;;R03;2;;SUBSTR(R03->CHAVE,1,17);R03->(!EOF())  .AND. SUBSTR(R02->CHAVE,1,17)==SUBSTR(R03->CHAVE,1,17);;;;;;;;;
;A1200E;R204;1;268;;;;R04;2;;SUBSTR(R04->CHAVE,1,17);R04->(!EOF())  .AND. SUBSTR(R02->CHAVE,1,17)==SUBSTR(R04->CHAVE,1,17);;;;;;;;;
;A1200E;R215;1;026;;;;;2;;;;;;;;;;;;
;A400N;R401;1;36;;;;;2;;;;;;2;;;;;;
;A400N;R402;1;683;;R403;;TMP;2;;;TMP->(!Eof());A400Valid('402');;2;;R405;R406;R407;R408;R410
;A400N;R403;1;684;;R404;;TMP;2;;;TMP->CODIGO==cPresta .and. TMP->CODINT==cCodInt .and. TMP->(!Eof());A400Valid('403');;2;;;;;;
;A400N;R404;1;14;;;;R04;2;;;R04->CODPRE= TMP->CODIGO .AND. R04->ATELOC=TMP->CODLOC  .AND. R04->(!Eof());A400Valid('404');;2;;;;;;
;A400N;R405;1;56;;;;R05;2;;;R05->(!Eof());A400Valid('405');;2;;;;;;
;A400N;R406;1;123;;;;R06;2;;;R06->(!Eof());A400Valid('406');;2;;;;;;
;A400N;R407;1;18;;;;R07;2;;;R07->(!Eof());A400Valid('407');;2;;;;;;
;A400N;R408;1;34;;;;R08;2;;;lGera408 .AND. R08->(!Eof());;;2;;;;;;
;A400N;R410;1;261;;;;;2;;;;lGera410;;2;;;;;;
;A400N;R499;1;67;;;;;2;;;;;;2;;;;;;
;A400O;R401;1;36;;;;;2;;;;;;2;;;;;;
;A400O;R402;1;691;;R403;;TMP;2;;;TMP->(!Eof());A400Valid('402');;2;;R405;R406;R407;R408;R410
;A400O;R403;1;684;;R404;;TMP;2;;;TMP->CODIGO==cPresta .and. TMP->CODINT==cCodInt .and. TMP->(!Eof());A400Valid('403');;2;;;;;;
;A400O;R404;1;14;;;;R04;2;;;R04->CODPRE= TMP->CODIGO .AND. R04->ATELOC=TMP->CODLOC  .AND. R04->(!Eof());A400Valid('404');;2;;;;;;
;A400O;R405;1;56;;;;R05;2;;;R05->(!Eof());A400Valid('405');;2;;;;;;
;A400O;R406;1;123;;;;R06;2;;;R06->(!Eof());A400Valid('406');;2;;;;;;
;A400O;R407;1;18;;;;R07;2;;;R07->(!Eof());A400Valid('407');;2;;;;;;
;A400O;R408;1;34;;;;R08;2;;;lGera408 .AND. R08->(!Eof());;;2;;;;;;
;A400O;R410;1;261;;;;;2;;;;lGera410;;2;;;;;;
;A400O;R499;1;67;;;;;2;;;;;;2;;;;;;
;A400P;R401;1;36;;;;;2;;;;;;2;;;;;;
;A400P;R402;1;691;;R403;;TMP;2;;;TMP->(!Eof());A400Valid('402');;2;;R405;R406;R407;R408;R410
;A400P;R403;1;684;;R404;;TMP;2;;;TMP->CODIGO==cPresta .and. TMP->CODINT==cCodInt .and. TMP->(!Eof());A400Valid('403');;2;;;;;;
;A400P;R404;1;14;;;;R04;2;;;R04->CODPRE= TMP->CODIGO .AND. R04->ATELOC=TMP->CODLOC  .AND. R04->(!Eof());A400Valid('404');;2;;;;;;
;A400P;R405;1;56;;;;R05;2;;;R05->(!Eof());A400Valid('405');;2;;;;;;
;A400P;R406;1;123;;;;R06;2;;;R06->(!Eof());A400Valid('406');;2;;;;;;
;A400P;R407;1;18;;;;R07;2;;;R07->(!Eof());A400Valid('407');;2;;;;;;
;A400P;R408;1;34;;;;R08;2;;;lGera408 .AND. R08->(!Eof());;;2;;;;;;
;A400P;R410;1;261;;;;;2;;;;lGera410;;2;;;;;;
;A400P;R499;1;67;;;;;2;;;;;;2;;;;;;
