0;CT1;CVD
1;CT1_FILIAL;CT1_CONTA;CT1_DESC01;CT1_DESC02;CT1_DESC03;CT1_DESC04;CT1_DESC05;CT1_CLASSE;CT1_NORMAL;CT1_RES;CT1_BLOQ;CT1_DTBLIN;CT1_DTBLFI;CT1_DC;CT1_NCUSTO;CT1_CC;CT1_CVD02;CT1_CVD03;CT1_CVD04;CT1_CVD05;CT1_CVC02;CT1_CVC03;CT1_CVC04;CT1_CVC05;CT1_CTASUP;CT1_HP;CT1_ACITEM;CT1_ACCUST;CT1_ACCLVL;CT1_DTEXIS;CT1_DTEXSF;CT1_CTAVM;CT1_CTARED;CT1_CTALP;CT1_CTAPON;CT1_BOOK;CT1_GRUPO;CT1_AGLSLD;CT1_RGNV1;CT1_RGNV2;CT1_RGNV3;CT1_CCOBRG;CT1_ITOBRG;CT1_CLOBRG;CT1_TRNSEF;CT1_AGLUT;CT1_LALUR;CT1_CTLALU;CT1_TPLALU;CT1_LALHIR;CT1_RATEIO;CT1_ESTOUR;CT1_CODIMP;CT1_AJ_INF;CT1_ATOBRG;CT1_ACET05;CT1_NATCTA;CT1_ACATIV;CT1_05OBRG
1;  ;112005              ;Bancos                                                                                              ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1120                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;112010              ;Corporaciones de ahorro y vivienda                                                                  ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1120                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;112015              ;Organismos cooperativos financieros                                                                 ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1120                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;1125                ;Fondos                                                                                              ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;11                  ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;112505              ;Rotatorios moneda nacional                                                                          ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1125                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;112510              ;Rotatorios moneda extranjera                                                                        ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1125                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;112515              ;Especiales moneda nacional                                                                          ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1125                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;112520              ;Especiales moneda extranjera                                                                        ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1125                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;112525              ;De amortizacion moneda nacional                                                                     ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1125                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;112530              ;De amortizacion moneda extranjera                                                                   ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1125                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;12                  ;Inversiones                                                                                         ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1                   ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;1205                ;Acciones                                                                                            ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;12                  ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120505              ;Agricultura, ganaderia, caza y silvicultura                                                         ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120510              ;Pesca                                                                                               ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120515              ;Explotacion de minas y canteras                                                                     ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120520              ;Industria manufacturera                                                                             ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120525              ;Suministro de electricidad, gas y agua                                                              ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120530              ;Construccion                                                                                        ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120535              ;Comercio al por mayor y al por menor                                                                ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120540              ;Hoteles y restaurantes                                                                              ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120545              ;Transporte, almacenamiento y comunicaciones                                                         ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120550              ;Actividad financiera                                                                                ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120555              ;Actividades inmobiliarias, empresariales y de alquiler                                              ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120560              ;Ensenanza                                                                                           ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120565              ;Servicios sociales y de salud                                                                       ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120570              ;Otras actividades de servicios comunitarios, sociales y personales                                  ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;120599              ;Ajustes por inflacion                                                                               ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1205                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;1210                ;Cuotas o partes de interes social                                                                   ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;12                  ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;121005              ;Agricultura, ganaderia, caza y silvicultura                                                         ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1210                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;121010              ;Pesca                                                                                               ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1210                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;121015              ;Explotacion de minas y canteras                                                                     ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1210                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;121020              ;Industria manufacturera                                                                             ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1210                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;121025              ;Suministro de electricidad, gas y agua                                                              ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1210                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;121030              ;Construccion                                                                                        ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1210                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;121035              ;Comercio al por mayor y al por menor                                                                ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1210                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
1;  ;121040              ;Hoteles y restaurantes                                                                              ;                                                                                                    ;                                                                                                    ;                                                                                                    ;                                                                                                    ;1;1;          ;2;        ;        ; ;             0;         ; ; ; ; ; ; ; ; ;1210                ;   ; ; ; ;        ;        ;                    ;                    ;                    ;                    ;                    ;        ; ;            ;            ;            ; ; ; ;                    ; ; ;                    ;  ; ;      ; ;                    ; ; ; ;  ; ; 
