ED_CODIGO;ED_DESCRIC;ED_CALCIRF;ED_CALCISS;ED_PERCIRF;ED_CALCINS;ED_PERCINS;ED_CALCCSL;ED_CALCCOF;ED_CALCPIS;ED_PERCCSL;ED_PERCCOF;ED_PERCPIS;ED_CONTA;ED_DEDPIS;ED_DEDCOF;ED_BASEINS;ED_CALCSES;ED_BASESES;ED_PERCSES;ED_IRRFCAR;ED_BASEIRC;ED_INSSCAR;ED_DEBITO;ED_CCD;ED_ITEMD;ED_CLVLDB;ED_CREDIT;ED_CCC;ED_ITEMC;ED_CLVLCR;ED_DEDINSS;ED_BASEIRF;ED_CALCFET;ED_BASECOF;ED_BASEPIS;ED_APURPIS;ED_APURCOF;ED_PCAPPIS;ED_PCAPCOF;ED_CALCCID;ED_BASECID;ED_PERCCID;ED_TIPO;ED_PAI;ED_USO;ED_GRPNAT;ED_RATOBR;ED_MSBLQL;ED_COND;ED_INDCMLT;ED_CSTPIS;ED_INDRET;ED_CSTCOF;ED_CLASFIS
PSAUDESIMP;PLANO DE SAUDE;N;N;0.00;N;0.00;N;N;N;0.00;0.00;0.00;;2;2;0.00;N;0.00;0.00;N;0.00;N;;;;;;;;;1;0.00;2;0.00;0.00;;;0.00;0.00;;0.00;0.00;2;;0;;;;;;;;;
PSAUDECIMP;PLANO DE SAUDE;S;S;0.00;S;0.00;S;S;S;0.00;0.00;0.00;;2;2;1.00;S;0.00;0.00;S;1.00;S;;;;;;;;;1;0.00;2;0.00;0.00;;;0.00;0.00;;0.00;0.00;2;;0;;;;;;;;;
