B04_CODIGO;B04_DESCRI;B04_TIPO;B04_SEGMEN;B04_DESSEG;B04_M_ARCO;B04_DESARC;B04_QTDFAC;B04_PERIOD;B04_UNIDAD
RIS;REGIAO DOS INCISIVOS CENTRAIS SUPERIORES;1;;;;;;;
RL;REGIAO LINGUAL;5;;;;;;;
RM;REGIAO RETRO MOLAR;5;;;;;;;
RMD;REGIAO DOS MOLARES LADO DIREITO;1;;;;;;;
RME;REGIAO DOS MOLARES LADO ESQUERDO;1;;;;;;;
RMID;REGIAO DOS MOLARES INFERIORES DIREITOS;1;;;;;;;
RMIE;REGIAO DOS MOLARES INFERIORES ESQUERDOS;1;;;;;;;
RMPD;REGIAO DOS MOLARES E PRE MOLARES LADO DIREITO;1;;;;;;;
RMPE;REGIAO DOS MOLARES E PRE MOLARES LADO ESQUERDO;1;;;;;;;
RMSD;REGIAO DOS MOLARES SUPERIORES DIREITOS;1;;;;;;;
RMSE;REGIAO DOS MOLARES SUPERIORES ESQUERDOS;1;;;;;;;
RP;REGIAO PALATINA;5;;;;;;;
RPD;REGIAO DOS PRE MOLARES LADO DIREITO;1;;;;;;;
RPE;REGIAO DOS PRE MOLARES LADO ESQUERDO;1;;;;;;;
RPID;REGIAO DOS PRE MOLARES INFERIORES DIREITOS;1;;;;;;;
RPIE;REGIAO DOS PRE MOLARES INFERIORES ESQUERDOS;1;;;;;;;
RPSD;REGIAO DOS PRE MOLARES SUPERIORES DIREITO;1;;;;;;;
RPSE;REGIAO DOS PRE MOLARES SUPERIORES ESQUERDOS;1;;;;;;;
RSL;REGIAO SUB LINGUAL;5;;;;;;;
RSMD;REGIAO SUB MANDIBULAR DIREITA;5;;;;;;;
RSME;REGIAO SUB MANDIBULAR ESQUERDA;5;;;;;;;
RV;REGIAO VESTIBULAR;1;;;;;;;
S1;SEXTANTE SUPERIOR POSTERIOR DIREITO;2;;;;;;;
S2;SEXTANTE SUPERIOR ANTERIOR;2;;;;;;;
S3;SEXTANTE SUPERIOR POSTERIOR ESQUERDO;2;;;;;;;
S4;SEXTANTE INFERIOR POSTERIOR ESQUERDO;2;;;;;;;
S5;SEXTANTE INFERIOR ANTERIOR;2;;;;;;;
S6;SEXTANTE INFERIOR POSTERIOR DIREITO;2;;;;;;;
SI;REGIAO DE SINFISE;5;;;;;;;
SM;REGIAO DO ASSOALHO DO SEIO MAXILAR;5;;;;;;;
TP;TONSILAS PALATINAS;5;;;;;;;
TU;REGIAO DO TUBER;5;;;;;;;
UV;Úvula;5;;;;;;;
