BAR_CODIGO;BAR_DESCRI;BAR_HORINI;BAR_HORFIN;BAR_PERC;BAR_VIGINI;BAR_VIGFIN;BAR_CODATI;BAR_DESATI
001;DIA DE SEMANA;1900;0600;30.00;20010101;;001;HORARIO ESPECIAL
002;FIM DE SEMANA E FERIADOS;0000;2359;30.00;20010101;;001;HORARIO ESPECIAL
